Code,Session,MF_UNICMJ_RIGHT,PF_UNICMJ_RIGHT,MV_UNICMJ_RIGHT,PV_UNICMJ_RIGHT,MP_UNICMJ_RIGHT,PP_UNICMJ_RIGHT,CI-UNICMJ_RIGHT,JH_UNICMJ_RIGHT,MF_UNICMJ_LEFT,PF_UNICMJ_LEFT,MV_UNICMJ_LEFT,PV_UNICMJ_LEFT,MP_UNICMJ_LEFT,PP_UNICMJ_LEFT,CI-UNICMJ_LEFT,JH_UNICMJ_LEFT,MF_BICMJ_RIGHT,PF_BICMJ_RIGHT,MV_BICMJ_RIGHT,PV_BICMJ_RIGHT,MP_BICMJ_RIGHT,PP_BICMJ_RIGHT,CI-BICMJ_RIGHT,MF_BICMJ_LEFT,PF_BICMJ_LEFT,MV_BICMJ_LEFT,PV_BICMJ_LEFT,MP_BICMJ_LEFT,PP_BICMJ_LEFT,CI-BICMJ_LEFT
1,1,1126.2,1379.4,1.22,2.10,1254.2,2396.2,134.1,0.19,1122.7,1388.6,1.21,2.09,1233.7,2421.5,130.2,0.18,666.4,786.9,1.55,2.75,952.2,1891.2,94.2,616.7,756.4,1.06,1.87,600.4,1245.0,65.8
2,1,1127.5,1308.5,1.20,2.06,1242.9,2329.0,138.4,0.15,1104.2,1354.7,1.10,2.01,1141.5,2342.8,132.8,0.18,850.8,1025.2,1.76,2.92,1329.6,2194.8,109.4,676.6,831.9,1.65,2.89,1027.4,1862.0,102.0
3,1,1034.0,1265.5,1.29,2.15,1224.2,2036.3,130.6,0.25,1029.3,1176.2,1.30,2.33,1254.6,2357.1,140.9,0.25,653.4,821.2,1.88,3.18,1117.0,1843.5,102.1,643.1,773.7,1.40,2.67,813.2,1621.6,92.1
4,1,1052.0,1318.1,1.26,2.28,1236.9,2389.7,135.1,0.21,1003.9,1186.5,1.31,2.21,1195.8,2186.2,130.3,0.23,644.2,729.5,1.88,3.36,1121.4,2050.8,95.6,700.4,811.9,1.44,2.44,908.0,1616.2,83.6
5,1,1293.6,1502.1,1.23,2.13,1466.5,2630.0,155.4,0.20,1278.8,1523.5,1.21,2.14,1433.4,2705.9,154.3,0.19,847.1,950.0,2.25,4.02,1765.4,3193.5,140.9,798.5,962.1,0.90,1.54,656.5,1179.5,64.7
6,1,1090.8,1325.6,1.13,1.98,1138.7,2151.8,130.2,0.21,1176.9,1446.8,1.15,1.91,1220.1,2173.0,126.9,0.20,684.4,795.3,1.13,2.06,727.3,1388.7,78.4,710.5,806.1,1.91,3.47,1272.2,2383.5,114.3
7,1,1267.6,1579.4,0.99,1.91,1196.2,2555.6,152.6,0.15,1288.3,1569.5,1.01,1.99,1254.4,2720.1,163.2,0.19,709.2,888.0,1.53,3.41,1118.7,2715.2,143.1,775.1,908.1,0.76,1.33,546.7,1024.0,60.2
8,1,1314.9,1679.7,1.30,2.06,1498.0,2560.8,144.6,0.18,1258.2,1531.5,1.24,2.10,1412.7,2584.7,146.5,0.19,863.1,1127.0,1.68,2.70,1268.3,2039.0,108.1,823.0,1035.8,1.87,3.07,1349.9,2238.2,106.2
9,1,963.3,1140.3,1.04,1.87,938.0,1842.7,109.2,0.13,915.7,1068.3,1.00,1.84,868.7,1730.6,107.4,0.13,637.6,723.9,1.28,2.30,761.0,1438.9,77.4,613.9,687.4,1.69,2.98,959.8,1772.7,88.2
10,1,844.6,1040.5,0.79,1.30,610.4,1153.4,62.9,0.06,874.4,1065.7,0.91,1.66,749.9,1523.2,91.3,0.09,651.1,770.8,0.72,1.28,437.0,837.2,50.2,656.1,780.3,1.56,3.09,998.8,2096.9,115.4
11,1,1071.6,1324.1,0.70,1.57,748.8,1791.4,117.2,0.11,1083.4,1353.0,0.73,1.57,779.4,1805.1,113.7,0.12,657.9,794.9,0.93,1.72,577.9,1159.1,67.3,617.3,759.4,0.66,1.15,374.7,713.8,42.5
12,1,739.8,899.5,0.80,1.43,551.3,1110.6,65.5,0.09,726.6,882.7,0.79,1.45,546.8,1135.5,70.6,0.08,430.6,538.9,0.79,1.51,326.6,699.9,41.6,470.7,559.2,1.26,2.33,564.3,1119.6,63.4
13,1,917.1,1112.3,0.81,1.47,697.9,1419.5,84.0,0.07,1000.8,1125.5,0.77,1.43,751.2,1373.6,101.3,0.13,621.0,769.5,1.16,1.94,643.5,1173.5,61.0,573.7,684.2,0.83,1.50,446.7,874.0,52.1
14,1,1009.3,1293.2,0.92,1.76,878.4,1901.8,109.2,0.13,1051.1,1255.4,1.14,2.08,1119.1,2255.6,131.4,0.15,643.7,824.9,1.17,2.29,729.0,1596.2,78.2,673.3,841.3,1.54,2.97,997.8,2102.5,100.4
15,1,1086.2,1397.3,0.90,1.50,880.3,1633.0,92.2,0.11,987.7,1206.2,0.86,1.73,828.3,1759.5,111.1,0.12,581.3,713.2,0.83,1.41,438.2,800.1,46.1,631.1,754.0,1.58,2.94,944.6,1884.9,95.0
16,1,862.8,1045.6,1.03,1.85,829.0,1668.4,96.7,0.13,854.6,1018.4,0.93,1.77,765.6,1544.8,100.4,0.12,500.0,606.0,1.25,2.42,603.3,1278.5,71.1,540.6,642.4,1.73,3.35,906.7,1864.8,92.5
17,1,981.1,1159.8,0.99,1.69,897.7,1631.4,103.1,0.12,789.0,1015.2,0.98,1.58,743.3,1378.1,107.8,0.14,632.0,737.9,1.36,2.35,788.5,1387.7,79.3,635.1,748.1,1.39,2.31,793.5,1337.4,75.1
18,1,867.5,1149.2,0.81,1.80,696.1,1730.7,101.3,0.13,1021.2,1194.1,1.03,1.72,954.2,1715.7,103.0,0.14,601.7,780.4,1.18,2.22,623.4,1215.6,82.3,612.2,809.6,1.55,2.74,843.0,1539.7,91.9
20,1,1155.7,1428.8,1.11,2.10,1218.8,2671.6,159.8,0.19,961.2,1241.9,1.03,1.66,880.5,1609.9,89.5,0.13,614.4,738.8,1.59,2.68,878.7,1574.6,83.2,566.6,712.7,1.26,2.07,629.2,1164.0,58.3
22,1,1175.8,1541.7,1.10,2.07,1218.0,2753.6,151.2,0.19,1087.5,1345.1,0.97,1.90,1015.3,2269.8,140.1,0.14,690.6,771.0,1.72,3.30,1145.3,2523.0,126.3,636.2,813.4,0.77,1.55,481.6,1125.6,67.4
23,1,1044.5,1291.2,1.13,2.08,1112.2,2281.7,134.1,0.21,1073.6,1310.6,1.08,2.08,1125.5,2326.0,139.0,0.23,609.5,749.7,1.27,2.29,729.5,1414.7,89.0,577.3,677.5,2.15,4.05,1184.4,2533.0,124.3
24,1,1367.4,1596.9,1.04,1.87,1333.9,2609.8,171.5,0.17,1398.2,1777.8,1.02,1.98,1377.1,2996.3,181.4,0.20,806.4,891.3,1.38,2.50,1025.8,2005.7,125.1,845.8,930.1,1.65,3.04,1323.3,2582.0,152.2
25,1,1015.3,1260.4,1.07,1.81,986.7,1851.2,113.9,0.14,1085.4,1298.2,1.12,1.84,1086.3,1904.5,124.3,0.15,608.0,745.7,2.02,3.48,1121.5,1982.1,102.6,628.0,779.5,1.03,1.75,580.8,1032.6,69.3
1,2,1179.8,1617.9,1.24,2.00,1278.3,2497.3,121.1,0.14,1126.6,1479.2,1.16,1.91,1161.9,2173.2,115.8,0.15,636.2,808.3,1.60,2.90,939.9,2019.1,94.0,564.7,735.8,0.71,1.27,367.6,796.6,41.5
2,2,1239.9,1479.2,1.20,2.03,1348.4,2470.2,139.1,0.22,1338.7,1602.0,1.16,2.05,1373.6,2546.1,157.6,0.18,891.7,1081.1,1.72,2.87,1366.8,2284.5,109.7,802.7,992.5,1.60,2.68,1143.3,1932.1,94.6
3,2,1044.1,1266.6,1.30,2.16,1240.9,2078.6,132.6,0.23,1071.7,1258.5,1.09,2.02,1064.4,1995.6,139.8,0.23,682.5,861.1,1.95,3.30,1204.1,2003.2,104.7,676.1,853.7,1.29,2.53,764.3,1525.2,97.2
4,2,1092.1,1371.9,1.28,2.24,1281.7,2429.8,133.5,0.22,1131.0,1365.2,1.37,2.26,1382.8,2444.4,136.2,0.23,603.9,682.9,1.88,3.43,1065.8,2022.6,96.7,640.4,737.4,1.38,2.48,823.3,1600.6,85.3
